grade,gradeVotesCount,ratingsAverage,hold_color,wall_name,ticksCount,inAt,outPlannedAt,font_grade
633,17,91.0,Lime,The Cave,146,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,6b
633,25,87.0,Candy Cane,Old Slab,230,2024-12-18T15:31:41.264Z,2025-02-24T15:32:10.764Z,6b
633,39,87.0,Yellow,Chalice,223,2024-12-09T12:04:07.908Z,2025-01-31T12:04:30.877Z,6b
633,22,92.0,Hot Pink,Bullseye Slab,127,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,6b
633,11,100.0,Yellow,The Cave,70,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,6b
650,20,100.0,Lime,Old Slab,70,2024-12-13T11:32:56.012Z,2025-02-10T11:33:18.110Z,6b+
650,22,96.0,Lime,Old Slab,173,2024-12-13T11:32:56.012Z,2025-02-10T11:33:18.110Z,6b+
650,16,87.0,Candy Cane,The Cave,103,2024-12-18T15:31:41.264Z,2025-02-24T15:32:10.764Z,6b+
650,15,95.0,Granite,Bullseye Slab,148,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,6b+
650,12,100.0,Lime,Bullseye Slab,65,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,6b+
650,7,93.0,Yellow,Steep Corner,65,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,6b+
650,23,93.0,Lime,Prow,235,2025-01-10T15:55:02.272Z,,6b+
650,13,91.0,Lime,Prow,148,2025-01-10T15:55:02.272Z,,6b+
650,13,100.0,Yellow,Prow,131,2025-01-10T16:04:27.012Z,,6b+
650,14,100.0,Lime,Mini-Cave,82,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,6b+
667,11,100.0,Yellow,Prow,90,2025-01-10T15:55:02.272Z,,6c
667,17,95.0,Yellow,Mini-Cave,95,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,6c
667,34,87.0,Black,Comp Wall,245,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,6c
667,22,100.0,Yellow,Mini-Cave,151,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,6c
667,24,100.0,Lime,The Duck,170,2024-12-16T12:48:27.455Z,2025-02-12T12:48:48.651Z,6c
667,16,93.0,Lime,Chalice,85,2024-12-09T12:04:07.908Z,2025-01-31T12:04:30.877Z,6c
667,20,100.0,Yellow,The Cave,136,2024-12-18T12:18:04.205Z,2025-02-24T12:18:29.871Z,6c
667,10,100.0,Candy Cane,Chalice,51,2024-12-09T16:09:16.816Z,2025-01-31T16:09:37.774Z,6c
667,22,95.0,Black,Old Slab,123,2024-12-13T11:32:56.012Z,2025-02-10T11:33:18.110Z,6c
667,29,100.0,Lime,The Cave,215,2024-12-18T12:18:04.205Z,2025-02-24T12:18:29.871Z,6c
667,11,100.0,Yellow,The Duck,88,2024-12-16T12:48:27.455Z,2025-02-12T12:48:48.651Z,6c
667,22,100.0,Lime,The Cave,175,2024-12-18T12:18:04.205Z,2025-02-24T12:18:29.871Z,6c
683,12,100.0,Yellow,The Cave,71,2024-12-18T12:18:04.205Z,2025-02-24T12:18:29.871Z,6c+
683,11,100.0,Black,Prow,71,2025-01-10T16:04:27.012Z,,6c+
683,30,100.0,Black,Mini-Cave,144,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,6c+
